prev_position = 50, move = -40, position = 10, zero_count = 0
prev_position = -57, move = 29, position = -28, zero_count = 3688
prev_position = -28, move = -72, position = 0, zero_count = 3689
prev_position = 0, move = -27, position = -27, zero_count = 3689
prev_position = -27, move = 91, position = 64, zero_count = 3690
prev_position = 64, move = 136, position = 0, zero_count = 3692
prev_position = 0, move = 15, position = 15, zero_count = 3692
prev_position = 15, move = 85, position = 0, zero_count = 3693
prev_position = 0, move = 859, position = 59, zero_count = 3701
prev_position = 59, move = -448, position = -89, zero_count = 3705
prev_position = -89, move = -12, position = -1, zero_count = 3706
prev_position = -1, move = 32, position = 31, zero_count = 3707
prev_position = 31, move = 69, position = 0, zero_count = 3708
prev_position = 0, move = -94, position = -94, zero_count = 3708
prev_position = -94, move = 93, position = -1, zero_count = 3708
prev_position = -1, move = 701, position = 0, zero_count = 3715
prev_position = 0, move = -62, position = -62, zero_count = 3715
prev_position = -62, move = 62, position = 0, zero_count = 3716
prev_position = 0, move = -10, position = -10, zero_count = 3716
prev_position = -10, move = -12, position = -22, zero_count = 3716
prev_position = -22, move = 64, position = 42, zero_count = 3717
prev_position = 42, move = 58, position = 0, zero_count = 3718
prev_position = 0, move = -664, position = -64, zero_count = 3724
prev_position = -64, move = 7, position = -57, zero_count = 3724
prev_position = -57, move = -43, position = 0, zero_count = 3725
prev_position = 0, move = 81, position = 81, zero_count = 3725
prev_position = 81, move = -53, position = 28, zero_count = 3725
prev_position = 28, move = 93, position = 21, zero_count = 3726
prev_position = 21, move = 1, position = 22, zero_count = 3726
prev_position = 22, move = -57, position = -35, zero_count = 3727
prev_position = -35, move = -64, position = -99, zero_count = 3727
prev_position = -99, move = 99, position = 0, zero_count = 3728
prev_position = 0, move = 470, position = 70, zero_count = 3732
prev_position = 70, move = -961, position = -91, zero_count = 3741
prev_position = -91, move = -15, position = -6, zero_count = 3742
prev_position = -6, move = -94, position = 0, zero_count = 3743
prev_position = 0, move = -656, position = -56, zero_count = 3749
prev_position = -56, move = 29, position = -27, zero_count = 3749
prev_position = -27, move = -73, position = 0, zero_count = 3750
prev_position = 0, move = -3, position = -3, zero_count = 3750
prev_position = -3, move = 403, position = 0, zero_count = 3754
prev_position = 0, move = -86, position = -86, zero_count = 3754
prev_position = -86, move = 86, position = 0, zero_count = 3755
prev_position = 0, move = -47, position = -47, zero_count = 3755
prev_position = -47, move = 47, position = 0, zero_count = 3756
prev_position = 0, move = 76, position = 76, zero_count = 3756
prev_position = 76, move = 55, position = 31, zero_count = 3757
prev_position = 31, move = -13, position = 18, zero_count = 3757
prev_position = 18, move = -18, position = 0, zero_count = 3758
prev_position = 0, move = -71, position = -71, zero_count = 3758
prev_position = -71, move = -329, position = 0, zero_count = 3762
prev_position = 0, move = 407, position = 7, zero_count = 3766
prev_position = 7, move = 893, position = 0, zero_count = 3775
prev_position = 0, move = -114, position = -14, zero_count = 3776
prev_position = -14, move = -86, position = 0, zero_count = 3777
prev_position = 0, move = -99, position = -99, zero_count = 3777
prev_position = -99, move = -40, position = -39, zero_count = 3778
prev_position = -39, move = 63, position = 24, zero_count = 3779
prev_position = 24, move = -24, position = 0, zero_count = 3780
prev_position = 0, move = -49, position = -49, zero_count = 3780
prev_position = -49, move = 24, position = -25, zero_count = 3780
prev_position = -25, move = -773, position = -98, zero_count = 3787
prev_position = -98, move = -2, position = 0, zero_count = 3788
prev_position = 0, move = 69, position = 69, zero_count = 3788
prev_position = 69, move = 3, position = 72, zero_count = 3788
prev_position = 72, move = 828, position = 0, zero_count = 3797
prev_position = 0, move = 49, position = 49, zero_count = 3797
prev_position = 49, move = -162, position = -13, zero_count = 3799
prev_position = -13, move = -87, position = 0, zero_count = 3800
prev_position = 0, move = -20, position = -20, zero_count = 3800
prev_position = -20, move = -61, position = -81, zero_count = 3800
prev_position = -81, move = 69, position = -12, zero_count = 3800
prev_position = -12, move = -88, position = 0, zero_count = 3801
prev_position = 0, move = 57, position = 57, zero_count = 3801
prev_position = 57, move = 83, position = 40, zero_count = 3802
prev_position = 40, move = -140, position = 0, zero_count = 3803
prev_position = 0, move = 663, position = 63, zero_count = 3809
prev_position = 63, move = 718, position = 81, zero_count = 3816
prev_position = 81, move = -70, position = 11, zero_count = 3816
prev_position = 11, move = -11, position = 0, zero_count = 3817
prev_position = 0, move = 414, position = 14, zero_count = 3821
prev_position = 14, move = -814, position = 0, zero_count = 3829
prev_position = 0, move = -35, position = -35, zero_count = 3829
prev_position = -35, move = -65, position = 0, zero_count = 3830
prev_position = 0, move = -94, position = -94, zero_count = 3830
prev_position = -94, move = 30, position = -64, zero_count = 3830
prev_position = -64, move = -72, position = -36, zero_count = 3831
prev_position = -36, move = 35, position = -1, zero_count = 3831
prev_position = -1, move = -61, position = -62, zero_count = 3831
prev_position = -62, move = -38, position = 0, zero_count = 3832
prev_position = 0, move = -242, position = -42, zero_count = 3834
prev_position = -42, move = 64, position = 22, zero_count = 3835
prev_position = 22, move = 835, position = 57, zero_count = 3843
prev_position = 57, move = -72, position = -15, zero_count = 3844
prev_position = -15, move = 15, position = 0, zero_count = 3845
prev_position = 0, move = 5, position = 5, zero_count = 3845
prev_position = 5, move = 70, position = 75, zero_count = 3845
prev_position = 75, move = 793, position = 68, zero_count = 3853
prev_position = 68, move = -4, position = 64, zero_count = 3853
prev_position = 64, move = -493, position = -29, zero_count = 3858
prev_position = -29, move = -84, position = -13, zero_count = 3859
prev_position = -13, move = -87, position = 0, zero_count = 3860
prev_position = 0, move = 995, position = 95, zero_count = 3869
prev_position = 95, move = 868, position = 63, zero_count = 3878
prev_position = 63, move = -63, position = 0, zero_count = 3879
prev_position = 0, move = -89, position = -89, zero_count = 3879
prev_position = -89, move = 5, position = -84, zero_count = 3879
prev_position = -84, move = -16, position = 0, zero_count = 3880
prev_position = 0, move = 50, position = 50, zero_count = 3880
prev_position = 50, move = -50, position = 0, zero_count = 3881
prev_position = 0, move = 17, position = 17, zero_count = 3881
prev_position = 17, move = 17, position = 34, zero_count = 3881
prev_position = 34, move = 78, position = 12, zero_count = 3882
prev_position = 12, move = -12, position = 0, zero_count = 3883
prev_position = 0, move = 92, position = 92, zero_count = 3883
prev_position = 92, move = 8, position = 0, zero_count = 3884
prev_position = 0, move = -40, position = -40, zero_count = 3884
prev_position = -40, move = -260, position = 0, zero_count = 3887
prev_position = 0, move = -47, position = -47, zero_count = 3887
prev_position = -47, move = 361, position = 14, zero_count = 3891
prev_position = 14, move = 7, position = 21, zero_count = 3891
prev_position = 21, move = 79, position = 0, zero_count = 3892
prev_position = 0, move = 87, position = 87, zero_count = 3892
prev_position = 87, move = 89, position = 76, zero_count = 3893
prev_position = 76, move = -95, position = -19, zero_count = 3894
prev_position = -19, move = -881, position = 0, zero_count = 3903
prev_position = 0, move = -68, position = -68, zero_count = 3903
prev_position = -68, move = 42, position = -26, zero_count = 3903
prev_position = -26, move = -74, position = 0, zero_count = 3904
prev_position = 0, move = -35, position = -35, zero_count = 3904
prev_position = -35, move = 482, position = 47, zero_count = 3909
prev_position = 47, move = -47, position = 0, zero_count = 3910
prev_position = 0, move = 37, position = 37, zero_count = 3910
prev_position = 37, move = 63, position = 0, zero_count = 3911
prev_position = 0, move = -1, position = -1, zero_count = 3911
prev_position = -1, move = -99, position = 0, zero_count = 3912
prev_position = 0, move = 341, position = 41, zero_count = 3915
prev_position = 41, move = -810, position = -69, zero_count = 3923
prev_position = -69, move = 69, position = 0, zero_count = 3924
prev_position = 0, move = -5, position = -5, zero_count = 3924
prev_position = -5, move = -913, position = -18, zero_count = 3933
prev_position = -18, move = -70, position = -88, zero_count = 3933
prev_position = -88, move = -24, position = -12, zero_count = 3934
prev_position = -12, move = 12, position = 0, zero_count = 3935
prev_position = 0, move = -80, position = -80, zero_count = 3935
prev_position = -80, move = -20, position = 0, zero_count = 3936
prev_position = 0, move = 44, position = 44, zero_count = 3936
prev_position = 44, move = -44, position = 0, zero_count = 3937
prev_position = 0, move = 98, position = 98, zero_count = 3937
prev_position = 98, move = -64, position = 34, zero_count = 3937
prev_position = 34, move = -20, position = 14, zero_count = 3937
prev_position = 14, move = -75, position = -61, zero_count = 3938
prev_position = -61, move = -39, position = 0, zero_count = 3939
prev_position = 0, move = 36, position = 36, zero_count = 3939
prev_position = 36, move = -36, position = 0, zero_count = 3940
prev_position = 0, move = 56, position = 56, zero_count = 3940
prev_position = 56, move = -309, position = -53, zero_count = 3943
prev_position = -53, move = -45, position = -98, zero_count = 3943
prev_position = -98, move = 98, position = 0, zero_count = 3944
prev_position = 0, move = -889, position = -89, zero_count = 3952
prev_position = -89, move = 89, position = 0, zero_count = 3953
prev_position = 0, move = 11, position = 11, zero_count = 3953
prev_position = 11, move = -11, position = 0, zero_count = 3954
prev_position = 0, move = -36, position = -36, zero_count = 3954
prev_position = -36, move = 315, position = 79, zero_count = 3957
prev_position = 79, move = -79, position = 0, zero_count = 3958
prev_position = 0, move = 13, position = 13, zero_count = 3958
prev_position = 13, move = -13, position = 0, zero_count = 3959
prev_position = 0, move = 55, position = 55, zero_count = 3959
prev_position = 55, move = 71, position = 26, zero_count = 3960
prev_position = 26, move = 33, position = 59, zero_count = 3960
prev_position = 59, move = -59, position = 0, zero_count = 3961
prev_position = 0, move = 36, position = 36, zero_count = 3961
prev_position = 36, move = -36, position = 0, zero_count = 3962
prev_position = 0, move = -45, position = -45, zero_count = 3962
prev_position = -45, move = 45, position = 0, zero_count = 3963
prev_position = 0, move = 614, position = 14, zero_count = 3969
prev_position = 14, move = 55, position = 69, zero_count = 3969
prev_position = 69, move = -86, position = -17, zero_count = 3970
prev_position = -17, move = 46, position = 29, zero_count = 3971
prev_position = 29, move = 62, position = 91, zero_count = 3971
prev_position = 91, move = -52, position = 39, zero_count = 3971
prev_position = 39, move = 65, position = 4, zero_count = 3972
prev_position = 4, move = 96, position = 0, zero_count = 3973
prev_position = 0, move = 17, position = 17, zero_count = 3973
prev_position = 17, move = -221, position = -4, zero_count = 3976
prev_position = -4, move = 26, position = 22, zero_count = 3977
prev_position = 22, move = -31, position = -9, zero_count = 3978
prev_position = -9, move = -47, position = -56, zero_count = 3978
prev_position = -56, move = 87, position = 31, zero_count = 3979
prev_position = 31, move = 22, position = 53, zero_count = 3979
prev_position = 53, move = 304, position = 57, zero_count = 3982
prev_position = 57, move = 18, position = 75, zero_count = 3982
prev_position = 75, move = 905, position = 80, zero_count = 3991
prev_position = 80, move = -45, position = 35, zero_count = 3991
prev_position = 35, move = 65, position = 0, zero_count = 3992
prev_position = 0, move = 90, position = 90, zero_count = 3992
prev_position = 90, move = 96, position = 86, zero_count = 3993
prev_position = 86, move = -73, position = 13, zero_count = 3993
prev_position = 13, move = -713, position = 0, zero_count = 4000
prev_position = 0, move = -93, position = -93, zero_count = 4000
prev_position = -93, move = 93, position = 0, zero_count = 4001
prev_position = 0, move = 27, position = 27, zero_count = 4001
prev_position = 27, move = 73, position = 0, zero_count = 4002
prev_position = 0, move = 60, position = 60, zero_count = 4002
prev_position = 60, move = -83, position = -23, zero_count = 4003
prev_position = -23, move = -77, position = 0, zero_count = 4004
prev_position = 0, move = 71, position = 71, zero_count = 4004
prev_position = 71, move = 67, position = 38, zero_count = 4005
prev_position = 38, move = -338, position = 0, zero_count = 4008
prev_position = 0, move = -76, position = -76, zero_count = 4008
prev_position = -76, move = -24, position = 0, zero_count = 4009
prev_position = 0, move = -372, position = -72, zero_count = 4012
prev_position = -72, move = -516, position = -88, zero_count = 4017
prev_position = -88, move = -77, position = -65, zero_count = 4018
prev_position = -65, move = 17, position = -48, zero_count = 4018
prev_position = -48, move = -50, position = -98, zero_count = 4018
prev_position = -98, move = 325, position = 27, zero_count = 4021
prev_position = 27, move = -55, position = -28, zero_count = 4022
prev_position = -28, move = 92, position = 64, zero_count = 4023
prev_position = 64, move = 236, position = 0, zero_count = 4026
prev_position = 0, move = -68, position = -68, zero_count = 4026
prev_position = -68, move = 10, position = -58, zero_count = 4026
prev_position = -58, move = 58, position = 0, zero_count = 4027
prev_position = 0, move = -94, position = -94, zero_count = 4027
prev_position = -94, move = -706, position = 0, zero_count = 4035
prev_position = 0, move = -884, position = -84, zero_count = 4043
prev_position = -84, move = 84, position = 0, zero_count = 4044
prev_position = 0, move = -21, position = -21, zero_count = 4044
prev_position = -21, move = 79, position = 58, zero_count = 4045
prev_position = 58, move = 84, position = 42, zero_count = 4046
prev_position = 42, move = -54, position = -12, zero_count = 4047
prev_position = -12, move = 806, position = 94, zero_count = 4055
prev_position = 94, move = 406, position = 0, zero_count = 4060
prev_position = 0, move = 369, position = 69, zero_count = 4063
prev_position = 69, move = -69, position = 0, zero_count = 4064
prev_position = 0, move = 73, position = 73, zero_count = 4064
prev_position = 73, move = 27, position = 0, zero_count = 4065
prev_position = 0, move = 754, position = 54, zero_count = 4072
prev_position = 54, move = 341, position = 95, zero_count = 4075
prev_position = 95, move = 75, position = 70, zero_count = 4076
prev_position = 70, move = -370, position = 0, zero_count = 4079
prev_position = 0, move = -34, position = -34, zero_count = 4079
prev_position = -34, move = 61, position = 27, zero_count = 4080
prev_position = 27, move = 73, position = 0, zero_count = 4081
prev_position = 0, move = 35, position = 35, zero_count = 4081
prev_position = 35, move = 65, position = 0, zero_count = 4082
prev_position = 0, move = 22, position = 22, zero_count = 4082
prev_position = 22, move = 66, position = 88, zero_count = 4082
prev_position = 88, move = -88, position = 0, zero_count = 4083
prev_position = 0, move = -699, position = -99, zero_count = 4089
prev_position = -99, move = -21, position = -20, zero_count = 4090
prev_position = -20, move = 27, position = 7, zero_count = 4091
prev_position = 7, move = -82, position = -75, zero_count = 4092
prev_position = -75, move = 62, position = -13, zero_count = 4092
prev_position = -13, move = 13, position = 0, zero_count = 4093
prev_position = 0, move = 63, position = 63, zero_count = 4093
prev_position = 63, move = 66, position = 29, zero_count = 4094
prev_position = 29, move = -19, position = 10, zero_count = 4094
prev_position = 10, move = -10, position = 0, zero_count = 4095
prev_position = 0, move = -30, position = -30, zero_count = 4095
prev_position = -30, move = -270, position = 0, zero_count = 4098
prev_position = 0, move = -30, position = -30, zero_count = 4098
prev_position = -30, move = 36, position = 6, zero_count = 4099
prev_position = 6, move = 731, position = 37, zero_count = 4106
prev_position = 37, move = -37, position = 0, zero_count = 4107
prev_position = 0, move = 71, position = 71, zero_count = 4107
prev_position = 71, move = 729, position = 0, zero_count = 4115
prev_position = 0, move = -25, position = -25, zero_count = 4115
prev_position = -25, move = 69, position = 44, zero_count = 4116
prev_position = 44, move = 55, position = 99, zero_count = 4116
prev_position = 99, move = 1, position = 0, zero_count = 4117
prev_position = 0, move = 90, position = 90, zero_count = 4117
prev_position = 90, move = -148, position = -58, zero_count = 4118
prev_position = -58, move = -17, position = -75, zero_count = 4118
prev_position = -75, move = 654, position = 79, zero_count = 4124
prev_position = 79, move = 67, position = 46, zero_count = 4125
prev_position = 46, move = 54, position = 0, zero_count = 4126
prev_position = 0, move = 1, position = 1, zero_count = 4126
prev_position = 1, move = 99, position = 0, zero_count = 4127
prev_position = 0, move = 79, position = 79, zero_count = 4127
prev_position = 79, move = -58, position = 21, zero_count = 4127
prev_position = 21, move = 16, position = 37, zero_count = 4127
prev_position = 37, move = 63, position = 0, zero_count = 4128
prev_position = 0, move = -50, position = -50, zero_count = 4128
prev_position = -50, move = 28, position = -22, zero_count = 4128
prev_position = -22, move = 12, position = -10, zero_count = 4128
prev_position = -10, move = -32, position = -42, zero_count = 4128
prev_position = -42, move = -309, position = -51, zero_count = 4131
prev_position = -51, move = 108, position = 57, zero_count = 4132
prev_position = 57, move = 41, position = 98, zero_count = 4132
prev_position = 98, move = 6, position = 4, zero_count = 4133
prev_position = 4, move = 52, position = 56, zero_count = 4133
prev_position = 56, move = 17, position = 73, zero_count = 4133
prev_position = 73, move = -173, position = 0, zero_count = 4134
prev_position = 0, move = -25, position = -25, zero_count = 4134
prev_position = -25, move = 136, position = 11, zero_count = 4136
prev_position = 11, move = 589, position = 0, zero_count = 4142
prev_position = 0, move = 82, position = 82, zero_count = 4142
prev_position = 82, move = 66, position = 48, zero_count = 4143
prev_position = 48, move = 7, position = 55, zero_count = 4143
prev_position = 55, move = 135, position = 90, zero_count = 4144
prev_position = 90, move = -97, position = -7, zero_count = 4145
prev_position = -7, move = -793, position = 0, zero_count = 4153
prev_position = 0, move = -72, position = -72, zero_count = 4153
prev_position = -72, move = 772, position = 0, zero_count = 4160
prev_position = 0, move = -3, position = -3, zero_count = 4160
prev_position = -3, move = -415, position = -18, zero_count = 4164
prev_position = -18, move = 18, position = 0, zero_count = 4165
prev_position = 0, move = -997, position = -97, zero_count = 4174
prev_position = -97, move = 56, position = -41, zero_count = 4174
prev_position = -41, move = 39, position = -2, zero_count = 4174
prev_position = -2, move = -87, position = -89, zero_count = 4174
prev_position = -89, move = -11, position = 0, zero_count = 4175
prev_position = 0, move = -80, position = -80, zero_count = 4175
prev_position = -80, move = 480, position = 0, zero_count = 4179
prev_position = 0, move = -11, position = -11, zero_count = 4179
prev_position = -11, move = 2, position = -9, zero_count = 4179
prev_position = -9, move = -91, position = 0, zero_count = 4180
prev_position = 0, move = 352, position = 52, zero_count = 4183
prev_position = 52, move = -4, position = 48, zero_count = 4183
prev_position = 48, move = -27, position = 21, zero_count = 4183
prev_position = 21, move = -42, position = -21, zero_count = 4184
prev_position = -21, move = 221, position = 0, zero_count = 4186
prev_position = 0, move = 94, position = 94, zero_count = 4186
prev_position = 94, move = -17, position = 77, zero_count = 4186
prev_position = 77, move = 23, position = 0, zero_count = 4187
prev_position = 0, move = 87, position = 87, zero_count = 4187
prev_position = 87, move = -887, position = 0, zero_count = 4195
prev_position = 0, move = -44, position = -44, zero_count = 4195
prev_position = -44, move = -6, position = -50, zero_count = 4195
prev_position = -50, move = -50, position = 0, zero_count = 4196
prev_position = 0, move = -83, position = -83, zero_count = 4196
prev_position = -83, move = 69, position = -14, zero_count = 4196
prev_position = -14, move = 959, position = 45, zero_count = 4206
prev_position = 45, move = 55, position = 0, zero_count = 4207
prev_position = 0, move = 79, position = 79, zero_count = 4207
prev_position = 79, move = 899, position = 78, zero_count = 4216
prev_position = 78, move = 22, position = 0, zero_count = 4217
prev_position = 0, move = -438, position = -38, zero_count = 4221
prev_position = -38, move = -62, position = 0, zero_count = 4222
prev_position = 0, move = 46, position = 46, zero_count = 4222
prev_position = 46, move = 34, position = 80, zero_count = 4222
prev_position = 80, move = 1, position = 81, zero_count = 4222
prev_position = 81, move = -93, position = -12, zero_count = 4223
prev_position = -12, move = 356, position = 44, zero_count = 4227
prev_position = 44, move = 402, position = 46, zero_count = 4231
prev_position = 46, move = -35, position = 11, zero_count = 4231
prev_position = 11, move = 495, position = 6, zero_count = 4236
prev_position = 6, move = -65, position = -59, zero_count = 4237
prev_position = -59, move = 93, position = 34, zero_count = 4238
prev_position = 34, move = 82, position = 16, zero_count = 4239
prev_position = 16, move = 740, position = 56, zero_count = 4246
prev_position = 56, move = 95, position = 51, zero_count = 4247
prev_position = 51, move = -51, position = 0, zero_count = 4248
prev_position = 0, move = -31, position = -31, zero_count = 4248
prev_position = -31, move = -2, position = -33, zero_count = 4248
prev_position = -33, move = -21, position = -54, zero_count = 4248
prev_position = -54, move = 209, position = 55, zero_count = 4250
prev_position = 55, move = -64, position = -9, zero_count = 4251
prev_position = -9, move = -27, position = -36, zero_count = 4251
prev_position = -36, move = -64, position = 0, zero_count = 4252
prev_position = 0, move = 94, position = 94, zero_count = 4252
prev_position = 94, move = -793, position = -99, zero_count = 4259
prev_position = -99, move = -7, position = -6, zero_count = 4260
prev_position = -6, move = 24, position = 18, zero_count = 4261
prev_position = 18, move = 17, position = 35, zero_count = 4261
prev_position = 35, move = -254, position = -19, zero_count = 4264
prev_position = -19, move = -81, position = 0, zero_count = 4265
prev_position = 0, move = -77, position = -77, zero_count = 4265
prev_position = -77, move = 99, position = 22, zero_count = 4266
prev_position = 22, move = -36, position = -14, zero_count = 4267
prev_position = -14, move = -86, position = 0, zero_count = 4268
prev_position = 0, move = 663, position = 63, zero_count = 4274
prev_position = 63, move = 29, position = 92, zero_count = 4274
prev_position = 92, move = -92, position = 0, zero_count = 4275
prev_position = 0, move = -79, position = -79, zero_count = 4275
prev_position = -79, move = -56, position = -35, zero_count = 4276
prev_position = -35, move = -31, position = -66, zero_count = 4276
prev_position = -66, move = 66, position = 0, zero_count = 4277
prev_position = 0, move = 21, position = 21, zero_count = 4277
prev_position = 21, move = -455, position = -34, zero_count = 4282
prev_position = -34, move = 741, position = 7, zero_count = 4290
prev_position = 7, move = 93, position = 0, zero_count = 4291
prev_position = 0, move = 56, position = 56, zero_count = 4291
prev_position = 56, move = 54, position = 10, zero_count = 4292
prev_position = 10, move = 541, position = 51, zero_count = 4297
prev_position = 51, move = -43, position = 8, zero_count = 4297
prev_position = 8, move = 22, position = 30, zero_count = 4297
prev_position = 30, move = 70, position = 0, zero_count = 4298
prev_position = 0, move = -623, position = -23, zero_count = 4304
prev_position = -23, move = 41, position = 18, zero_count = 4305
prev_position = 18, move = -46, position = -28, zero_count = 4306
prev_position = -28, move = 59, position = 31, zero_count = 4307
prev_position = 31, move = 79, position = 10, zero_count = 4308
prev_position = 10, move = -43, position = -33, zero_count = 4309
prev_position = -33, move = -67, position = 0, zero_count = 4310
prev_position = 0, move = 587, position = 87, zero_count = 4315
prev_position = 87, move = 66, position = 53, zero_count = 4316
prev_position = 53, move = -33, position = 20, zero_count = 4316
prev_position = 20, move = -91, position = -71, zero_count = 4317
prev_position = -71, move = -34, position = -5, zero_count = 4318
prev_position = -5, move = -61, position = -66, zero_count = 4318
prev_position = -66, move = 27, position = -39, zero_count = 4318
prev_position = -39, move = -48, position = -87, zero_count = 4318
prev_position = -87, move = 287, position = 0, zero_count = 4320
prev_position = 0, move = -48, position = -48, zero_count = 4320
prev_position = -48, move = 75, position = 27, zero_count = 4321
prev_position = 27, move = 13, position = 40, zero_count = 4321
prev_position = 40, move = 25, position = 65, zero_count = 4321
prev_position = 65, move = -65, position = 0, zero_count = 4322
prev_position = 0, move = -98, position = -98, zero_count = 4322
prev_position = -98, move = 92, position = -6, zero_count = 4322
prev_position = -6, move = -794, position = 0, zero_count = 4330
prev_position = 0, move = 38, position = 38, zero_count = 4330
prev_position = 38, move = 8, position = 46, zero_count = 4330
prev_position = 46, move = 54, position = 0, zero_count = 4331
prev_position = 0, move = 472, position = 72, zero_count = 4335
prev_position = 72, move = 27, position = 99, zero_count = 4335
prev_position = 99, move = 15, position = 14, zero_count = 4336
prev_position = 14, move = 87, position = 1, zero_count = 4337
prev_position = 1, move = -41, position = -40, zero_count = 4338
prev_position = -40, move = -60, position = 0, zero_count = 4339
prev_position = 0, move = 42, position = 42, zero_count = 4339
prev_position = 42, move = -504, position = -62, zero_count = 4344
prev_position = -62, move = 41, position = -21, zero_count = 4344
prev_position = -21, move = 64, position = 43, zero_count = 4345
prev_position = 43, move = 14, position = 57, zero_count = 4345
prev_position = 57, move = 40, position = 97, zero_count = 4345
prev_position = 97, move = 77, position = 74, zero_count = 4346
prev_position = 74, move = 926, position = 0, zero_count = 4356
prev_position = 0, move = -19, position = -19, zero_count = 4356
prev_position = -19, move = 219, position = 0, zero_count = 4358
prev_position = 0, move = 77, position = 77, zero_count = 4358
prev_position = 77, move = 23, position = 0, zero_count = 4359
prev_position = 0, move = -74, position = -74, zero_count = 4359
prev_position = -74, move = -57, position = -31, zero_count = 4360
prev_position = -31, move = -171, position = -2, zero_count = 4362
prev_position = -2, move = -39, position = -41, zero_count = 4362
prev_position = -41, move = 68, position = 27, zero_count = 4363
prev_position = 27, move = -60, position = -33, zero_count = 4364
prev_position = -33, move = 74, position = 41, zero_count = 4365
prev_position = 41, move = -5, position = 36, zero_count = 4365
prev_position = 36, move = -36, position = 0, zero_count = 4366
prev_position = 0, move = 41, position = 41, zero_count = 4366
prev_position = 41, move = 3, position = 44, zero_count = 4366
prev_position = 44, move = -44, position = 0, zero_count = 4367
prev_position = 0, move = 55, position = 55, zero_count = 4367
prev_position = 55, move = 45, position = 0, zero_count = 4368
prev_position = 0, move = -82, position = -82, zero_count = 4368
prev_position = -82, move = -55, position = -37, zero_count = 4369
prev_position = -37, move = 37, position = 0, zero_count = 4370
prev_position = 0, move = -718, position = -18, zero_count = 4377
prev_position = -18, move = 30, position = 12, zero_count = 4378
prev_position = 12, move = -12, position = 0, zero_count = 4379
prev_position = 0, move = 18, position = 18, zero_count = 4379
prev_position = 18, move = 88, position = 6, zero_count = 4380
prev_position = 6, move = -34, position = -28, zero_count = 4381
prev_position = -28, move = 29, position = 1, zero_count = 4382
prev_position = 1, move = 99, position = 0, zero_count = 4383
prev_position = 0, move = -27, position = -27, zero_count = 4383
prev_position = -27, move = -47, position = -74, zero_count = 4383
prev_position = -74, move = -61, position = -35, zero_count = 4384
prev_position = -35, move = -62, position = -97, zero_count = 4384
prev_position = -97, move = 597, position = 0, zero_count = 4389
prev_position = 0, move = -36, position = -36, zero_count = 4389
prev_position = -36, move = 36, position = 0, zero_count = 4390
prev_position = 0, move = 45, position = 45, zero_count = 4390
prev_position = 45, move = -40, position = 5, zero_count = 4390
prev_position = 5, move = -27, position = -22, zero_count = 4391
prev_position = -22, move = -14, position = -36, zero_count = 4391
prev_position = -36, move = 65, position = 29, zero_count = 4392
prev_position = 29, move = -54, position = -25, zero_count = 4393
prev_position = -25, move = -15, position = -40, zero_count = 4393
prev_position = -40, move = 40, position = 0, zero_count = 4394
prev_position = 0, move = 33, position = 33, zero_count = 4394
prev_position = 33, move = -76, position = -43, zero_count = 4395
prev_position = -43, move = -89, position = -32, zero_count = 4396
prev_position = -32, move = -44, position = -76, zero_count = 4396
prev_position = -76, move = -24, position = 0, zero_count = 4397
prev_position = 0, move = -55, position = -55, zero_count = 4397
prev_position = -55, move = 20, position = -35, zero_count = 4397
prev_position = -35, move = -241, position = -76, zero_count = 4399
prev_position = -76, move = 44, position = -32, zero_count = 4399
prev_position = -32, move = 37, position = 5, zero_count = 4400
prev_position = 5, move = -81, position = -76, zero_count = 4401
prev_position = -76, move = -801, position = -77, zero_count = 4409
prev_position = -77, move = -485, position = -62, zero_count = 4414
prev_position = -62, move = -62, position = -24, zero_count = 4415
prev_position = -24, move = 24, position = 0, zero_count = 4416
prev_position = 0, move = -5, position = -5, zero_count = 4416
prev_position = -5, move = -49, position = -54, zero_count = 4416
prev_position = -54, move = 793, position = 39, zero_count = 4424
prev_position = 39, move = 585, position = 24, zero_count = 4430
prev_position = 24, move = -24, position = 0, zero_count = 4431
prev_position = 0, move = 46, position = 46, zero_count = 4431
prev_position = 46, move = 301, position = 47, zero_count = 4434
prev_position = 47, move = 189, position = 36, zero_count = 4436
prev_position = 36, move = 65, position = 1, zero_count = 4437
prev_position = 1, move = 85, position = 86, zero_count = 4437
prev_position = 86, move = 34, position = 20, zero_count = 4438
prev_position = 20, move = 980, position = 0, zero_count = 4448
prev_position = 0, move = 57, position = 57, zero_count = 4448
prev_position = 57, move = -48, position = 9, zero_count = 4448
prev_position = 9, move = 72, position = 81, zero_count = 4448
prev_position = 81, move = -39, position = 42, zero_count = 4448
prev_position = 42, move = -69, position = -27, zero_count = 4449
prev_position = -27, move = 73, position = 46, zero_count = 4450
prev_position = 46, move = -846, position = 0, zero_count = 4458
prev_position = 0, move = -84, position = -84, zero_count = 4458
prev_position = -84, move = -516, position = 0, zero_count = 4464
prev_position = 0, move = -83, position = -83, zero_count = 4464
prev_position = -83, move = 4, position = -79, zero_count = 4464
prev_position = -79, move = 79, position = 0, zero_count = 4465
prev_position = 0, move = 23, position = 23, zero_count = 4465
prev_position = 23, move = 77, position = 0, zero_count = 4466
prev_position = 0, move = 15, position = 15, zero_count = 4466
prev_position = 15, move = -99, position = -84, zero_count = 4467
